date,symbol,open,high,low,close,volume,volume USD
2018-09-12,XRPUSD,0.2624,0.2729,0.2531,0.2702,11759139.04,3078886.92
2018-09-11,XRPUSD,0.2693,0.2743,0.253,0.2624,19081833.71,4978342.27
2018-09-10,XRPUSD,0.2763,0.282,0.2589,0.2693,22863783.24,6119469.36
2018-09-09,XRPUSD,0.276,0.2906,0.2702,0.2763,7678114.6,2152152.98
2018-09-08,XRPUSD,0.2856,0.2933,0.2685,0.276,6845197.99,1910329.88
2018-09-07,XRPUSD,0.3011,0.3043,0.281,0.2856,10592077.82,3108044.11
2018-09-06,XRPUSD,0.2786,0.3047,0.268,0.3011,26662909.19,7631777.45
2018-09-05,XRPUSD,0.3301,0.3335,0.2766,0.2786,22177888.98,6635997.86
2018-09-04,XRPUSD,0.3348,0.3412,0.3282,0.3301,7833487.92,2622780.92
2018-09-03,XRPUSD,0.3416,0.3431,0.3329,0.3348,4689358.59,1579982.11
2018-09-02,XRPUSD,0.3464,0.3488,0.336,0.3416,6465291.66,2210516.57
2018-09-01,XRPUSD,0.3348,0.3542,0.334,0.3464,6191161.81,2129640.0
2018-08-31,XRPUSD,0.3348,0.3411,0.327,0.3348,6772902.81,2253181.25
2018-08-30,XRPUSD,0.3445,0.3469,0.322,0.3348,14164877.88,4690864.66
2018-08-29,XRPUSD,0.3505,0.3544,0.3383,0.3445,11941860.21,4126272.42
2018-08-28,XRPUSD,0.3389,0.3575,0.335,0.3505,18353869.71,6363266.76
2018-08-27,XRPUSD,0.3239,0.34,0.3219,0.3389,10186771.0,3358968.12
2018-08-26,XRPUSD,0.3279,0.3291,0.3183,0.3239,3978633.85,1283243.28
2018-08-25,XRPUSD,0.3275,0.3331,0.322,0.3279,4192319.34,1370182.43
2018-08-24,XRPUSD,0.326,0.3289,0.3152,0.3275,9308200.79,3001801.03
2018-08-23,XRPUSD,0.317,0.331,0.316,0.326,10456951.58,3372175.74
2018-08-22,XRPUSD,0.3339,0.3541,0.31,0.317,20414199.76,6757627.47
2018-08-21,XRPUSD,0.3149,0.3377,0.314,0.3339,10636394.85,3484163.77
2018-08-20,XRPUSD,0.3419,0.35,0.3136,0.3149,21003558.08,6977823.19
2018-08-19,XRPUSD,0.3283,0.3539,0.3182,0.3419,14020031.76,4757546.75
2018-08-18,XRPUSD,0.3668,0.3704,0.3121,0.3283,17318115.39,5800248.35
2018-08-17,XRPUSD,0.2915,0.3739,0.2909,0.3668,29781558.2,9734932.29
2018-08-16,XRPUSD,0.2803,0.3023,0.275,0.2915,13981162.08,4062218.21
2018-08-15,XRPUSD,0.273,0.302,0.2726,0.2803,24574167.38,7110185.95
2018-08-14,XRPUSD,0.2744,0.2775,0.2451,0.273,28281912.76,7342997.41
2018-08-13,XRPUSD,0.2952,0.31,0.2702,0.2744,16315664.16,4758537.62
