timestamp,date,symbol,open,high,low,close,volume
1537761600000,2018-09-24 04:00:00,ZECUSD,133.06,147.06,124.98,133.8,10873.05166057
1537675200000,2018-09-23 04:00:00,ZECUSD,127.96,135.01,126.61,133.06,2156.66358865
1537588800000,2018-09-22 04:00:00,ZECUSD,125.25,127.96,120.0,127.96,774.13698501
1537502400000,2018-09-21 04:00:00,ZECUSD,120.2,128.93,119.0,125.25,4545.88821163
1537416000000,2018-09-20 04:00:00,ZECUSD,113.98,121.15,112.21,120.2,1736.27641766
1537329600000,2018-09-19 04:00:00,ZECUSD,113.17,115.99,109.5,113.98,2184.59674747
1537243200000,2018-09-18 04:00:00,ZECUSD,106.98,113.63,106.07,113.17,2297.73827605
1537156800000,2018-09-17 04:00:00,ZECUSD,118.39,118.39,106.09,106.98,2135.63991761
1537070400000,2018-09-16 04:00:00,ZECUSD,118.03,120.33,116.05,118.39,871.42051616
1536984000000,2018-09-15 04:00:00,ZECUSD,118.58,125.0,118.01,118.03,904.45011026
1536897600000,2018-09-14 04:00:00,ZECUSD,120.37,120.37,120.37,120.37,0.0
1536811200000,2018-09-13 04:00:00,ZECUSD,114.0,123.97,111.39,120.37,6179.87832371
1536724800000,2018-09-12 04:00:00,ZECUSD,105.85,114.88,100.02,114.0,4769.25625525
1536638400000,2018-09-11 04:00:00,ZECUSD,118.37,118.37,105.85,105.85,2589.63804775
1536552000000,2018-09-10 04:00:00,ZECUSD,121.16,121.24,115.8,118.37,1232.31783768
1536465600000,2018-09-09 04:00:00,ZECUSD,117.4,122.85,117.4,121.16,6854.65088947
1536379200000,2018-09-08 04:00:00,ZECUSD,126.86,133.86,115.01,117.4,1218.04124253
1536292800000,2018-09-07 04:00:00,ZECUSD,132.63,132.63,125.0,126.86,1330.65162303
1536206400000,2018-09-06 04:00:00,ZECUSD,127.1,133.38,124.8,132.63,2318.18492244
1536120000000,2018-09-05 04:00:00,ZECUSD,157.88,158.08,120.67,127.1,4824.24421055
1536033600000,2018-09-04 04:00:00,ZECUSD,156.22,159.83,154.85,157.88,1223.90127359
1535947200000,2018-09-03 04:00:00,ZECUSD,152.28,161.12,149.6,156.22,1016.49977655
1535860800000,2018-09-02 04:00:00,ZECUSD,155.48,157.52,151.0,152.28,658.10235673
1535774400000,2018-09-01 04:00:00,ZECUSD,151.84,160.0,150.81,155.48,922.21207911
1535688000000,2018-08-31 04:00:00,ZECUSD,147.08,153.1,141.84,151.84,2839.7016674
1535601600000,2018-08-30 04:00:00,ZECUSD,149.61,152.01,144.73,147.08,3594.23398469
1535515200000,2018-08-29 04:00:00,ZECUSD,151.71,155.15,148.0,149.61,1615.24197078
1535428800000,2018-08-28 04:00:00,ZECUSD,148.61,156.7,147.6,151.71,3547.10808858
1535342400000,2018-08-27 04:00:00,ZECUSD,134.41,156.89,134.41,148.61,12136.33234008
1535256000000,2018-08-26 04:00:00,ZECUSD,135.46,136.64,133.26,134.41,656.25498692
1535169600000,2018-08-25 04:00:00,ZECUSD,138.86,140.52,135.0,135.46,630.23853369
1535083200000,2018-08-24 04:00:00,ZECUSD,130.58,144.0,129.93,138.86,2383.50281722
1534996800000,2018-08-23 04:00:00,ZECUSD,128.34,133.55,127.35,130.58,2225.00408185
1534910400000,2018-08-22 04:00:00,ZECUSD,139.92,140.27,124.0,128.34,4392.61809767
1534824000000,2018-08-21 04:00:00,ZECUSD,128.0,145.58,128.0,139.92,3543.55542275
1534737600000,2018-08-20 04:00:00,ZECUSD,142.77,142.77,128.0,128.0,2586.97071387
1534651200000,2018-08-19 04:00:00,ZECUSD,139.7,146.69,139.66,142.77,453.75410899
1534564800000,2018-08-18 04:00:00,ZECUSD,149.68,149.68,139.01,139.7,556.98152064
1534478400000,2018-08-17 04:00:00,ZECUSD,142.79,154.38,141.74,149.68,4340.39944895
1534392000000,2018-08-16 04:00:00,ZECUSD,135.93,143.04,135.38,142.79,4201.08893685
1534305600000,2018-08-15 04:00:00,ZECUSD,140.22,145.0,134.74,135.93,5595.45926671
1534219200000,2018-08-14 04:00:00,ZECUSD,131.0,142.49,124.3,140.22,10123.13430635
1534132800000,2018-08-13 04:00:00,ZECUSD,157.62,162.61,120.59,131.0,6656.05244886
1534046400000,2018-08-12 04:00:00,ZECUSD,159.45,162.93,156.0,157.62,661.88002304
1533960000000,2018-08-11 04:00:00,ZECUSD,158.5,175.92,152.0,159.45,1022.77192043
1533873600000,2018-08-10 04:00:00,ZECUSD,171.6,171.6,171.6,171.6,0.0
1533787200000,2018-08-09 04:00:00,ZECUSD,162.78,177.04,157.21,171.6,3667.79561353
1533700800000,2018-08-08 04:00:00,ZECUSD,171.45,172.62,156.73,162.78,9877.0302762
1533614400000,2018-08-07 04:00:00,ZECUSD,181.71,191.71,171.2,171.45,9362.91767724
1533528000000,2018-08-06 04:00:00,ZECUSD,183.44,186.25,175.1,181.71,12513.17445474
1533441600000,2018-08-05 04:00:00,ZECUSD,174.99,186.0,174.99,183.44,2912.18634301
